X,Y,OBJECTID_1,OBJECTID,StaType,StnType,ZipCode,State,City,Address2,Address1,Name,Code,StationNam
-9177602.8686,5305950.4193,749,757,Station Building (with waiting room),TRAIN,48060,MI,Port Huron, ,2223 16th Street, ,PTH,"Port Huron, MI"
-13672087.5455,6115093.5898,750,758,Curbside Bus Stop only (no shelter),BUS,98368,WA,Port Townsend, ,63 4 Corners Road, ,PTO,"Port Townsend, WA"
-7881875.0832,5321061.2057,751,759,Station Building (with waiting room),BUS,03801,NH,Portsmouth, ,185 Grafton Drive, ,PTS,"Portsmouth, NH"
-8218158.8016,5423337.2698,752,760,Curbside Bus Stop only (no shelter),BUS,12860,NY,Pottersville, ,6 Olmstedville Road, ,PTV,"Pottersville, NY"
-11645163.0857,4617460.8001,753,761,Station Building (with waiting room),BUS,81003,CO,Pueblo, ,123 Court Street, ,PUB,"Pueblo, CO"
-13043729.3979,5899638.1922,754,762,Station Building (with waiting room),BUS,99163,WA,Pullman, ,1205 North Grand Avenue, ,PUL,"Pullman, WA"
-8791076.522,5004182.7607,755,763,Station Building (with waiting room),BUS,15767,PA,Punxsutawney, ,222 North Findley Street, ,PUN,"Punxsutawney, PA"
-10837778.844,4165517.3332,756,764,Station Building (with waiting room),TRAIN,73080,OK,Purcell, ,East Main Street and North Santa Fe Avenue, ,PUR,"Purcell, OK"
-7949712.082,5135473.2736,757,765,Station Building (with waiting room),TRAIN,02903,RI,Providence, ,100 Gaspee Street,Amtrak/MBTA Station,PVD,"Providence, RI"
-7947986.0727,5133499.5139,758,766,Station Building (with waiting room),BUS,02903,RI,Providence, ,25 India Street,Seastreak Ferry Terminal,PVF,"Providence, RI"
-10822310.3268,4128839.9388,759,767,Station Building (with waiting room),TRAIN,73075,OK,Pauls Valley, ,South Santa Fe Street and East Paul Avenue, ,PVL,"Pauls Valley, OK"
-10685813.9757,3512933.1973,760,768,Curbside Bus Stop only (no shelter),BUS,77446,TX,Prairie View, ,44814 US Highway 290 Business, ,PVW,"Prairie View, TX"
-12481052.1455,3980498.2134,761,769,Curbside Bus Stop only (no shelter),BUS,85053,AZ,Phoenix, ,2717 W. Bell Road,Denny's Restaurant,PXN,"Phoenix - North, AZ"
-8604220.6693,4653415.9374,762,770,Platform with Shelter,TRAIN,22134,VA,Quantico, ,550 Railroad Avenue, ,QAN,"Quantico, VA"
-10171098.4163,4859705.814,763,771,Station Building (with waiting room),TRAIN,62301,IL,Quincy, ,North 30th Street and Wisman Lane, ,QCY,"Quincy, IL"
-8395650.0814,4929247.8655,764,772,Curbside Bus Stop only (no shelter),BUS,18951,PA,Quakertown, ,1903 John Fries Highway, ,QKR,"Quakertown, PA"
-13342277.6515,5980273.7759,765,773,Curbside Bus Stop only (no shelter),BUS,98848,WA,Quincy, ,115 F Street Southwest, ,QUC,"Quincy, WA"
-11625973.3671,4425327.2975,766,774,Station Building (with waiting room),TRAIN,87740,NM,Raton, ,201 South First Street, ,RAT,"Raton, NM"
-13704531.4263,6306691.2815,767,775,Curbside Bus Stop only (no shelter),BUS,V6X 2M9,BC,Richmond, ,10251 St. Edwards Drive, ,RBC,"Richmond, BC"
-13607093.373,4891913.5462,768,776,Curbside Bus Stop only (no shelter),BUS,96080,CA,Red Bluff, ,735 Rio Street, ,RBF,"Red Bluff, CA"
-9903680.6736,5201338.2134,769,777,Station Building (with waiting room),BUS,61108,IL,Rockford, ,7559 Walton St, ,RCK,"Rockford, IL"
-13624769.1362,4951115.4431,770,778,Platform with Shelter,TRAIN,96001,CA,Redding, ,1620 Yuba Street,Amtrak Station,RDD,"Redding, CA"
-13480126.978,5488887.4631,771,779,Curbside Bus Stop only (no shelter),BUS,97756,OR,Redmond, ,2522 S.E. Jesse Butler Circle, ,RDM,"Redmond, OR"
-13624702.1218,4951104.5963,772,780,Curbside Bus Stop only (no shelter),BUS,96001,CA,Redding, ,1530 Yuba Street,RABA Passenger Terminal,RDR,"Redding, CA"
-13489333.9942,5506777.8939,773,781,Curbside Bus Stop only (no shelter),BUS,97756,OR,Redmond, ,777 Southwest Kalama Avenue,Transit Hub,RDT,"Redmond, OR"
-10301179.9001,5553488.5765,774,782,Station Building (with waiting room),TRAIN,55066,MN,Red Wing, ,420 Levee Street, ,RDW,"Red Wing, MN"
-9520244.2658,5447948.3633,775,783,Curbside Bus Stop only (no shelter),BUS,49677,MI,Reed City, ,US 10 & 220th Ave., ,REE,"Reed City, MI"
-9702064.3043,5003980.3577,776,784,Platform with Shelter,TRAIN,47978,IN,Rensselaer, ,776 North Cullen Street, ,REN,"Rensselaer, IN"
-8347499.7287,5289717.7361,777,785,Curbside Bus Stop only (no shelter),BUS,13439,NY,Richfield Springs, ,126 West Main Street, ,RFS,"Richfield Springs, NY"
-8755031.5577,4270009.7897,778,786,Station Building (with waiting room),TRAIN,27603,NC,Raleigh, ,510 West Martin Street,Union Station,RGH,"Raleigh, NC"
-8232218.7782,5149205.9985,779,787,Station Building (with waiting room),TRAIN,12574,NY,Rhinecliff, ,455 Rhinecliff Road, ,RHI,"Rhinecliff, NY"
-13620400.9202,4570495.5411,780,788,Platform with Shelter,TRAIN,94801,CA,Richmond, ,1700 Nevin Avenue, ,RIC,"Richmond, CA"
-13303105.7914,5394817.6366,781,789,Curbside Bus Stop only (no shelter),BUS,97758,OR,Riley, ,105 U.S. Highway 20, ,RIL,"Riley, OR"
-13065568.638,4025536.2265,782,790,Platform with Shelter,TRAIN,92507,CA,Riverside, ,4066 Vine Street, ,RIV,"Riverside, CA"
-9529158.1678,5329729.899,783,791,Curbside Bus Stop only (no shelter),BUS,49341,MI,Rockford, ,"2770 Ten Mile Road, Northeast", ,RKF,"Rockford, MI"
-10080023.9247,5087299.7697,784,792,Curbside Bus Stop only (no shelter),BUS,61201,IL,Rock Island, ,3500 5th Avenue,Augustana College,RKI,"Rock Island, IL"
-8587853.1407,4733790.5721,785,793,Platform with Shelter,TRAIN,20850,MD,Rockville, ,307 South Stonestreet Avenue, ,RKV,"Rockville, MD"
-13496075.8545,4691779.7664,786,794,Station Building (with waiting room),TRAIN,95677,CA,Rocklin, ,Rocklin Rd. and Railroad Ave., ,RLN,"Rocklin, CA"
-10294243.6842,5469864.5071,787,795,Station Building (with waiting room),BUS,55902,MN,Rochester, ,821 Civic Center Drive NW, ,RMN,"Rochester, MN"
-8660417.8663,4292094.7372,788,796,Station Building (with waiting room),TRAIN,27804,NC,Rocky Mount, ,101 Coastline Street, ,RMT,"Rocky Mount, NC"
-8899080.2563,4477254.9966,789,797,Platform with Shelter,TRAIN,24011,VA,Roanoke, ,55 Norfolk Avenue SW, ,RNK,"Roanoke, VA"
-13337425.9731,4797663.6889,790,798,Station Building (with waiting room),TRAIN,89501,NV,Reno, ,280 North Center Street, ,RNO,"Reno, NV"
-13685336.9653,5794740.7509,791,799,Curbside Bus Stop only (no shelter),BUS,97048,OR,Rainier, ,207 West B Street, ,RNR,"Rainier, OR"
-13568196.3687,5202548.7433,792,800,Curbside Bus Stop only (no shelter),BUS,97601,OR,Klamath Falls, ,5500 Running Y Road, ,RNY,"Running Y Ranch, OR"
-8639270.4373,5336769.1087,793,801,Station Building (with waiting room),BUS,14604,NY,Rochester, ,186 Cumberland Street,Bus Terminal,ROB,"Rochester, NY"
-8639289.6955,5336879.1447,794,802,Station Building (with waiting room),TRAIN,14605,NY,Rochester, ,320 Central Avenue,Louise M. Slaughter Station,ROC,"Rochester, NY"
-7693091.8649,5482058.4365,795,803,Station Building (with waiting room),BUS,04841,ME,Rockland, ,517A Main Street, ,ROD,"Rockland, ME"
-8399051.3592,5342377.1195,796,804,Station Building (with waiting room),TRAIN,13440,NY,Rome, ,6599 Martin Street, ,ROM,"Rome, NY"
-9255883.3104,5234429.619,797,805,Platform with Shelter,TRAIN,48069,MI,Royal Oak, ,202 South Sherman Drive, ,ROY,"Royal Oak, MI"
-13659988.2576,4628609.1781,798,806,Curbside Bus Stop only (no shelter),BUS,94928,CA,Rohnert Park, ,6335 Commerce Blvd, ,RPC,"Rohnert Park, CA"
-8089082.0298,5453442.3152,799,807,Platform only (no shelter),TRAIN,05060,VT,Randolph, ,South Main and Salisbury Streets, ,RPH,"Randolph, VT"
-13817000.6162,5418468.1408,800,808,Curbside Bus Stop only (no shelter),BUS,97467,OR,Reedsport, ,2012 Winchester Avenue, ,RPT,"Reedsport, OR"
-13717688.3911,5609689.5025,801,809,Curbside Bus Stop only (no shelter),BUS,97371,OR,Rickreall, ,520 South Pacific Hwy, ,RRL,"Rickreall, OR"
-8167632.8821,5620715.3373,802,810,Platform only (no shelter),TRAIN,12979,NY,Rouses Point, ,68 Pratt Street, ,RSP,"Rouses Point, NY"
-13501529.0627,4685927.2343,803,811,Platform with Shelter,TRAIN,95678,CA,Roseville, ,201 Pacific Street, ,RSV,"Roseville, CA"
-12162347.7,5097856.7963,804,812,Station Building (with waiting room),BUS,82901,WY,Rock Springs, ,1695 Sunset Drive, ,RSY,"Rock Springs, WY"
-7920147.3991,5192526.1868,805,813,Station Building (with waiting room),TRAIN,02090,MA,Westwood, ,50 University Avenue, ,RTE,"Route 128, MA"
-9813829.6558,4911226.6423,806,814,Platform with Shelter,TRAIN,61866,IL,Rantoul, ,East Grove Ave and North Kentucky Ave., ,RTL,"Rantoul, IL"
-13176370.9464,5961586.8163,807,815,Curbside Bus Stop only (no shelter),BUS,99169,WA,Ritzville, ,1503 South Smittys Blvd., ,RTZ,"Ritzville, WA"
-8124267.7924,5404634.7036,808,816,Station Building (with waiting room),TRAIN,05701,VT,Rutland, ,25 Evelyn Street, ,RUD,"Rutland, VT"
-11131678.1487,6168607.4001,809,817,Station Building (with waiting room),TRAIN,58368,ND,Rugby, ,201 West Dewey Street, ,RUG,"Rugby, ND"
-8619414.1083,4513833.5857,810,818,Station Building (with waiting room),TRAIN,23219,VA,Richmond, ,1500 East Main Street,Main Street Station,RVM,"Richmond, VA"
